.text
  00000000   02328020   add $16, $17, $18
  00000418   02770018   mult $19, $23 # comment(260)
  0000041C   0000F012   mflo $30 # comment(261)
  00000420   00004810   mfhi $9 # comment(262)
  00000424   2C412D16   sltiu $1, $2, 11542 # comment(263)
  00000428   23FB936C   addi $27, $31, -27796
  0000042C   00BF7807   srav $15, $31, $5
  00000430   02640019   multu $19, $4 # comment(266)
  00000434   038C2025   or $4, $28, $12 # comment(267)
  00000438   02742024   and $4, $19, $20 # comment(268)
  0000043C   00422004   sllv $4, $2, $2
  00000440   0090A822   sub $21, $4, $16 # comment(270)
  00000444   0006B800   sll $23, $6, 0 # comment(271)
  00000448   006DD026   xor $26, $3, $13
  0000044C   00065C43   sra $11, $6, 17
  00000450   36DB3C34   ori $27, $22, 15412 # comment(274)
  00000454   0000E012   mflo $28 # comment(275)
  00000458   02AE0018   mult $21, $14 # comment(276)
  0000045C   02F1F021   addu $30, $23, $17 # comment(277)
  00000460   02600013   mtlo $19
  00000464   00035B40   sll $11, $3, 13 # comment(279)
  00000468   02202825   or $5, $17, $0
  0000046C   2A1153D0   slti $17, $16, 21456
  00000470   00A07807   srav $15, $0, $5 # comment(282)
  00000474   00EB7820   add $15, $7, $11
  00000478   25C7C64B   addiu $7, $14, -14773
  0000047C   01800011   mthi $12
  00000480   38FA78C7   xori $26, $7, 30919
  00000484   006CE827   nor $29, $3, $12
  00000488   2A23C20C   slti $3, $17, -15860 # comment(288)
  0000048C   016EF807   srav $31, $14, $11
  00000490   023AE825   or $29, $17, $26 # comment(290)
  00000494   03FEE026   xor $28, $31, $30 # comment(291)
  00000498   023E0019   multu $17, $30
  0000049C   017AF022   sub $30, $11, $26
  000004A0   00004940   sll $9, $0, 5 # comment(294)
  000004A4   01450019   multu $10, $5
  000004A8   02AB2804   sllv $5, $11, $21
  000004AC   2E47286F   sltiu $7, $18, 10351
  000004B0   001AD340   sll $26, $26, 13 # comment(298)
  000004B4   0054B02A   slt $22, $2, $20 # comment(299)
  000004B8   016E5007   srav $10, $14, $11
  000004BC   02F9B022   sub $22, $23, $25 # comment(301)
  000004C0   3C09146D   lui $9, 5229
  000004C4   20F29EF2   addi $18, $7, -24846
  000004C8   03C00019   multu $30, $0 # comment(304)
  000004CC   02028022   sub $16, $16, $2
  000004D0   00185003   sra $10, $24, 0 # comment(306)
  000004D4   29B93386   slti $25, $13, 13190
  000004D8   3B47237D   xori $7, $26, 9085
  000004DC   010B9822   sub $19, $8, $11 # comment(309)
  000004E0   02C00011   mthi $22 # comment(310)
  000004E4   00006810   mfhi $13 # comment(311)
  000004E8   02D13823   subu $7, $22, $17 # comment(312)
  000004EC   00F83827   nor $7, $7, $24 # comment(313)
  000004F0   03CE0018   mult $30, $14
  000004F4   23E4FE62   addi $4, $31, -414 # comment(315)
  000004F8   0000A812   mflo $21
  000004FC   0206C825   or $25, $16, $6
  00000500   0317B823   subu $23, $24, $23
  00000504   02915823   subu $11, $20, $17
  00000508   00FF001A   div $7, $31
  0000050C   22E01050   addi $0, $23, 4176
  00000510   32A51D2D   andi $5, $21, 7469 # comment(322)
  00000514   0012001B   divu $0, $18
  00000518   00890825   or $1, $4, $9 # comment(324)
  0000051C   395E052E   xori $30, $10, 1326
  00000520   02A00013   mtlo $21
  00000524   03740024   and $0, $27, $20
  00000528   378F75D5   ori $15, $28, 30165 # comment(328)
  0000052C   30E21918   andi $2, $7, 6424
  00000530   26CC968B   addiu $12, $22, -26997
  00000534   01276027   nor $12, $9, $7 # comment(331)
  00000538   00007500   sll $14, $0, 20
  0000053C   03E00013   mtlo $31 # comment(333)
  00000540   009C7821   addu $15, $4, $28 # comment(334)
  00000544   20665AE5   addi $6, $3, 23269 # comment(335)
  00000548   007C8825   or $17, $3, $28
  0000054C   01600013   mtlo $11 # comment(337)
  00000550   007B5022   sub $10, $3, $27 # comment(338)
  00000554   00311004   sllv $2, $17, $1
  00000558   019B0019   multu $12, $27
  0000055C   00EE3021   addu $6, $7, $14
  00000560   03A00011   mthi $29
  00000564   27BBEC77   addiu $27, $29, -5001
  00000568   243AEBE2   addiu $26, $1, -5150 # comment(344)
  0000056C   01B90019   multu $13, $25 # comment(345)
  00000570   02200011   mthi $17
  00000574   3C064089   lui $6, 16521 # comment(347)
  00000578   3914234F   xori $20, $8, 9039
  0000057C   0226E026   xor $28, $17, $6
  00000580   002A3806   srlv $7, $10, $1
  00000584   03FD9827   nor $19, $31, $29
  00000588   00AA1022   sub $2, $5, $10 # comment(352)
  0000058C   03E84020   add $8, $31, $8
  00000590   01CFC02A   slt $24, $14, $15
  00000594   00314826   xor $9, $1, $17 # comment(355)
  00000598   0340F821   addu $31, $26, $0
  0000059C   01039807   srav $19, $3, $8 # comment(357)
  000005A0   3B021016   xori $2, $24, 4118 # comment(358)
  000005A4   03E00013   mtlo $31 # comment(359)
  000005A8   00FAF827   nor $31, $7, $26
  000005AC   25D2F530   addiu $18, $14, -2768
  000005B0   0148C82B   sltu $25, $10, $8
  000005B4   00088BC2   srl $17, $8, 15 # comment(363)
  000005B8   0307F02A   slt $30, $24, $7 # comment(364)
  000005BC   03060018   mult $24, $6
  000005C0   2B4DFDF5   slti $13, $26, -523
  000005C4   035DB807   srav $23, $29, $26
  000005C8   001F1680   sll $2, $31, 26 # comment(368)
  000005CC   20B85501   addi $24, $5, 21761
  000005D0   03E2A82A   slt $21, $31, $2
  000005D4   03F19007   srav $18, $17, $31
  000005D8   02E50019   multu $23, $5
  000005DC   274EE9C4   addiu $14, $26, -5692
  000005E0   00AAB826   xor $23, $5, $10
  000005E4   02576006   srlv $12, $23, $18 # comment(375)
  000005E8   022D7004   sllv $14, $13, $17
  000005EC   00BA001A   div $5, $26
  000005F0   37FE3559   ori $30, $31, 13657 # comment(378)
  000005F4   322547E8   andi $5, $17, 18408
  000005F8   035A2823   subu $5, $26, $26 # comment(380)
  000005FC   017F3022   sub $6, $11, $31
  00000600   0261D806   srlv $27, $1, $19 # comment(382)
  00000604   0019C821   addu $25, $0, $25
  00000608   008BC82B   sltu $25, $4, $11 # comment(384)
  0000060C   00E3E825   or $29, $7, $3
  00000610   26C2AE0D   addiu $2, $22, -20979
  00000614   013D1004   sllv $2, $29, $9 # comment(387)
  00000618   00400011   mthi $2
  0000061C   3C146BDC   lui $20, 27612
  00000620   01F6001B   divu $15, $22 # comment(390)
  00000624   35D23EAE   ori $18, $14, 16046 # comment(391)
  00000628   3C09618F   lui $9, 24975 # comment(392)
  0000062C   00AD001A   div $5, $13
  00000630   366F37A3   ori $15, $19, 14243 # comment(394)
  00000634   004A001A   div $2, $10 # comment(395)
  00000638   03F7E02B   sltu $28, $31, $23
  0000063C   3C0F284A   lui $15, 10314
  00000640   01CFC021   addu $24, $14, $15 # comment(398)
  00000644   02059022   sub $18, $16, $5
  00000648   0113B825   or $23, $8, $19 # comment(400)
  0000064C   03980019   multu $28, $24
  00000650   0276E822   sub $29, $19, $22
  00000654   28459D05   slti $5, $2, -25339 # comment(403)
  00000658   039B001B   divu $28, $27
  0000065C   01D5001A   div $14, $21
  00000660   0243D022   sub $26, $18, $3
  00000664   207B55A2   addi $27, $3, 21922
  00000668   03800013   mtlo $28 # comment(408)
  0000066C   014CF020   add $30, $10, $12
  00000670   0138F825   or $31, $9, $24
  00000674   01B6A027   nor $20, $13, $22
  00000678   013A0018   mult $9, $26 # comment(412)
  0000067C   02E0F007   srav $30, $0, $23
  00000680   03F89007   srav $18, $24, $31 # comment(414)
  00000684   03979824   and $19, $28, $23 # comment(415)
  00000688   01C87027   nor $14, $14, $8
  0000068C   00173182   srl $6, $23, 6 # comment(417)
  00000690   02660018   mult $19, $6 # comment(418)
  00000694   02820018   mult $20, $2
  00000698   00004012   mflo $8 # comment(420)
  0000069C   0176482B   sltu $9, $11, $22
  000006A0   01A9B806   srlv $23, $9, $13 # comment(422)
  000006A4   02DFC827   nor $25, $22, $31 # comment(423)
  000006A8   02604006   srlv $8, $0, $19 # comment(424)
  000006AC   037FB022   sub $22, $27, $31
  000006B0   02B9A825   or $21, $21, $25 # comment(426)
  000006B4   28489B2D   slti $8, $2, -25811 # comment(427)
  000006B8   0247482A   slt $9, $18, $7 # comment(428)
  000006BC   00CD0822   sub $1, $6, $13 # comment(429)
  000006C0   00097342   srl $14, $9, 13 # comment(430)
  000006C4   03D3982B   sltu $19, $30, $19 # comment(431)
  000006C8   0125001A   div $9, $5
  000006CC   0361582B   sltu $11, $27, $1
  000006D0   02A3001B   divu $21, $3 # comment(434)
  000006D4   00009810   mfhi $19
  000006D8   02870019   multu $20, $7
  000006DC   01C11026   xor $2, $14, $1 # comment(437)
  000006E0   001F001B   divu $0, $31
  000006E4   00BB0018   mult $5, $27
  000006E8   280BC310   slti $11, $0, -15600
  000006EC   0000B810   mfhi $23
  000006F0   02251822   sub $3, $17, $5 # comment(442)
  000006F4   0037E023   subu $28, $1, $23 # comment(443)
  000006F8   00092302   srl $4, $9, 12 # comment(444)
  000006FC   24214566   addiu $1, $1, 17766 # comment(445)
  00000700   0215E807   srav $29, $21, $16
  00000704   001D001A   div $0, $29
  00000708   004A1024   and $2, $2, $10
  0000070C   009D0019   multu $4, $29 # comment(449)
  00000710   3BBA251E   xori $26, $29, 9502
  00000714   2EF9643C   sltiu $25, $23, 25660
  00000718   00B71804   sllv $3, $23, $5 # comment(452)
  0000071C   2BBB1374   slti $27, $29, 4980 # comment(453)
  00000720   001C6F42   srl $13, $28, 29
  00000724   00A81823   subu $3, $5, $8
  00000728   0000C012   mflo $24
  0000072C   20EF596F   addi $15, $7, 22895 # comment(457)
  00000730   238D9992   addi $13, $28, -26222 # comment(458)
  00000734   02A6C82A   slt $25, $21, $6
  00000738   00006012   mflo $12
  0000073C   02296822   sub $13, $17, $9
  00000740   005D6026   xor $12, $2, $29
  00000744   03AA8022   sub $16, $29, $10
  00000748   02313821   addu $7, $17, $17
  0000074C   01DC3027   nor $6, $14, $28 # comment(465)
  00000750   01633026   xor $6, $11, $3 # comment(466)
  00000754   2C7BF2E1   sltiu $27, $3, -3359 # comment(467)
  00000758   00A00019   multu $5, $0
  0000075C   00664826   xor $9, $3, $6 # comment(469)
  00000760   33043F69   andi $4, $24, 16233
  00000764   0037001A   div $1, $23 # comment(471)
  00000768   02D46022   sub $12, $22, $20 # comment(472)
  0000076C   009C0019   multu $4, $28
  00000770   0078B004   sllv $22, $24, $3
  00000774   01000013   mtlo $8
  00000778   2CFE61A0   sltiu $30, $7, 24992
  0000077C   00FA6807   srav $13, $26, $7
  00000780   00F2001A   div $7, $18 # comment(478)
  00000784   01700004   sllv $0, $16, $11
  00000788   0014F882   srl $31, $20, 2
  0000078C   02000823   subu $1, $16, $0
  00000790   001D9243   sra $18, $29, 9 # comment(482)
  00000794   0109A022   sub $20, $8, $9
  00000798   2C492AFA   sltiu $9, $2, 11002
  0000079C   001F89C3   sra $17, $31, 7 # comment(485)
  000007A0   0000A010   mfhi $20
  000007A4   24B6AB2C   addiu $22, $5, -21716
  000007A8   0297001A   div $20, $23
  000007AC   2E2751B3   sltiu $7, $17, 20915 # comment(489)
  000007B0   0058F82A   slt $31, $2, $24 # comment(490)
  000007B4   000B9183   sra $18, $11, 6
  000007B8   00002812   mflo $5 # comment(492)
  000007BC   0007D440   sll $26, $7, 17 # comment(493)
  000007C0   005D8027   nor $16, $2, $29 # comment(494)
  000007C4   3B333584   xori $19, $25, 13700
  000007C8   02A2C006   srlv $24, $2, $21
  000007CC   0355C021   addu $24, $26, $21 # comment(497)
  000007D0   36D91D10   ori $25, $22, 7440 # comment(498)
  000007D4   02000011   mthi $16 # comment(499)
  000007D8   2CC41110   sltiu $4, $6, 4368 # comment(500)
  000007DC   00006283   sra $12, $0, 10 # comment(501)
  000007E0   001810C0   sll $2, $24, 3 # comment(502)
  000007E4   00400013   mtlo $2 # comment(503)
  000007E8   00007810   mfhi $15
  000007EC   01069804   sllv $19, $6, $8 # comment(505)
  000007F0   024E8024   and $16, $18, $14 # comment(506)
  000007F4   0127E025   or $28, $9, $7
  000007F8   35835808   ori $3, $12, 22536 # comment(508)
  000007FC   011CB82B   sltu $23, $8, $28
  00000800   03CF9020   add $18, $30, $15
  00000804   03600011   mthi $27 # comment(511)
  00000808   0015B824   and $23, $0, $21 # comment(512)
  0000080C   02319004   sllv $18, $17, $17 # comment(513)
  00000810   03361821   addu $3, $25, $22
  00000814   00850018   mult $4, $5 # comment(515)
  00000818   03B1502A   slt $10, $29, $17
  0000081C   0152001B   divu $10, $18 # comment(517)
  00000820   013E1027   nor $2, $9, $30
  00000824   266A9CF6   addiu $10, $19, -25354 # comment(519)
  00000828   21D6ACC4   addi $22, $14, -21308
  0000082C   03C30019   multu $30, $3 # comment(521)
  00000830   01CB6820   add $13, $14, $11 # comment(522)
  00000834   02A37820   add $15, $21, $3
  00000838   006D0018   mult $3, $13
  0000083C   0011B300   sll $22, $17, 12 # comment(525)
  00000840   01693020   add $6, $11, $9 # comment(526)
  00000844   0390A824   and $21, $28, $16 # comment(527)
  00000848   0000D012   mflo $26
  0000084C   26F33401   addiu $19, $23, 13313 # comment(529)
  00000850   009E3826   xor $7, $4, $30 # comment(530)
  00000854   000AD000   sll $26, $10, 0 # comment(531)
  00000858   00178040   sll $16, $23, 1 # comment(532)
  0000085C   01C4001A   div $14, $4
  00000860   000453C0   sll $10, $4, 15 # comment(534)
  00000864   2290D532   addi $16, $20, -10958 # comment(535)
  00000868   394F72F4   xori $15, $10, 29428 # comment(536)
  0000086C   32E21230   andi $2, $23, 4656 # comment(537)
  00000870   00142702   srl $4, $20, 28
  00000874   01C00013   mtlo $14 # comment(539)
  00000878   03E0E023   subu $28, $31, $0
  0000087C   03B1001A   div $29, $17 # comment(541)
  00000880   00D3D825   or $27, $6, $19
  00000884   0003E8C2   srl $29, $3, 3 # comment(543)
  00000888   328E2FB7   andi $14, $20, 12215
  0000088C   03400011   mthi $26 # comment(545)
  00000890   03DB7024   and $14, $30, $27 # comment(546)
  00000894   00005812   mflo $11
  00000898   253497C0   addiu $20, $9, -26688
  0000089C   30601436   andi $0, $3, 5174 # comment(549)
  000008A0   25A5679C   addiu $5, $13, 26524
  000008A4   031F4026   xor $8, $24, $31
  000008A8   2A00B73C   slti $0, $16, -18628 # comment(552)
  000008AC   373F4095   ori $31, $25, 16533
  000008B0   0010402B   sltu $8, $0, $16 # comment(554)
  000008B4   01D25824   and $11, $14, $18
  000008B8   02287826   xor $15, $17, $8 # comment(556)
  000008BC   001DB642   srl $22, $29, 25
  000008C0   01600011   mthi $11
  000008C4   3838146F   xori $24, $1, 5231 # comment(559)
  000008C8   000E7203   sra $14, $14, 8 # comment(560)
  000008CC   009E2825   or $5, $4, $30
  000008D0   2DEDABB4   sltiu $13, $15, -21580 # comment(562)
  000008D4   03DF7821   addu $15, $30, $31
  000008D8   003A2822   sub $5, $1, $26 # comment(564)
  000008DC   0130001B   divu $9, $16 # comment(565)
  000008E0   2FAAA58F   sltiu $10, $29, -23153 # comment(566)
